source,section,SMAPE,env,algorithm
env,2,66.5422201295826,LunarLanderContinuous-v2,SAC
env,3,71.81095390683745,LunarLanderContinuous-v2,SAC
env,all,65.75585341547058,LunarLanderContinuous-v2,SAC
buffer,1,71.74354453612246,LunarLanderContinuous-v2,SAC
buffer,2,66.99103080616314,LunarLanderContinuous-v2,SAC
buffer,3,67.34864525355209,LunarLanderContinuous-v2,SAC
buffer,all,68.70281233305974,LunarLanderContinuous-v2,SAC
noise,1,71.5112410786887,LunarLanderContinuous-v2,SAC
noise,2,75.90747902597109,LunarLanderContinuous-v2,SAC
noise,3,79.0231149706176,LunarLanderContinuous-v2,SAC
noise,all,75.55268161058771,LunarLanderContinuous-v2,SAC
policy,1,68.51033050644855,LunarLanderContinuous-v2,SAC
policy,2,76.29609851928909,LunarLanderContinuous-v2,SAC
policy,3,62.24393335810059,LunarLanderContinuous-v2,SAC
policy,all,68.69487558482201,LunarLanderContinuous-v2,SAC
env,1,71.67208451935318,MountainCarContinuous-v0,SAC
env,2,65.17179183023337,MountainCarContinuous-v0,SAC
env,3,77.3599524646183,MountainCarContinuous-v0,SAC
env,all,71.97849661014583,MountainCarContinuous-v0,SAC
buffer,1,36.40623542693323,MountainCarContinuous-v0,SAC
buffer,2,11.913762571108192,MountainCarContinuous-v0,SAC
buffer,3,9.376958522376025,MountainCarContinuous-v0,SAC
buffer,all,16.251297091130194,MountainCarContinuous-v0,SAC
noise,1,88.92418757040116,MountainCarContinuous-v0,SAC
noise,2,96.10156556987872,MountainCarContinuous-v0,SAC
noise,3,89.41825910739703,MountainCarContinuous-v0,SAC
noise,all,91.62002929691444,MountainCarContinuous-v0,SAC
policy,1,19.760735787668303,MountainCarContinuous-v0,SAC
policy,2,45.62667776371555,MountainCarContinuous-v0,SAC
policy,3,6.7508785110943785,MountainCarContinuous-v0,SAC
policy,all,22.18937694056671,MountainCarContinuous-v0,SAC
env,1,26.934231794952048,MountainCarContinuous-v0,PPO
env,2,6.657363298276013,MountainCarContinuous-v0,PPO
env,3,2.326957954647876,MountainCarContinuous-v0,PPO
env,all,7.965973744366288,MountainCarContinuous-v0,PPO
buffer,1,23.83302141611121,MountainCarContinuous-v0,PPO
buffer,2,7.095719901380564,MountainCarContinuous-v0,PPO
buffer,3,2.3670616822265704,MountainCarContinuous-v0,PPO
buffer,all,6.8816127463084,MountainCarContinuous-v0,PPO
noise,1,67.18189878961783,MountainCarContinuous-v0,PPO
noise,2,25.34317003219082,MountainCarContinuous-v0,PPO
noise,3,2.435143084492972,MountainCarContinuous-v0,PPO
noise,all,19.43524522222218,MountainCarContinuous-v0,PPO
policy,all,8.077976788400209,MountainCarContinuous-v0,PPO
env,1,8.565316331187988,Pendulum-v1,PPO
env,2,26.085142077116974,Pendulum-v1,PPO
env,3,42.99654375836496,Pendulum-v1,PPO
env,all,25.925518638410427,Pendulum-v1,PPO
buffer,1,2.872956367811096,Pendulum-v1,PPO
buffer,2,13.501417052059834,Pendulum-v1,PPO
buffer,3,7.807381144545683,Pendulum-v1,PPO
buffer,all,8.07352158419954,Pendulum-v1,PPO
noise,1,5.439168660224501,Pendulum-v1,PPO
noise,2,19.131348468124536,Pendulum-v1,PPO
noise,3,10.778035506784132,Pendulum-v1,PPO
noise,all,11.798670534782095,Pendulum-v1,PPO
policy,all,7.156495926268769,Pendulum-v1,PPO
env,1,32.3397324603417,Pendulum-v1,SAC
env,2,29.88845642433334,Pendulum-v1,SAC
env,3,29.12634737520706,Pendulum-v1,SAC
env,all,30.425995595090686,Pendulum-v1,SAC
buffer,1,11.843724644589662,Pendulum-v1,SAC
buffer,2,10.624256846604432,Pendulum-v1,SAC
buffer,3,6.068630211387075,Pendulum-v1,SAC
buffer,all,9.480696863782969,Pendulum-v1,SAC
noise,1,18.517162242705407,Pendulum-v1,SAC
noise,2,11.58228570077658,Pendulum-v1,SAC
noise,3,11.758232015124603,Pendulum-v1,SAC
noise,all,13.890876171925123,Pendulum-v1,SAC
policy,1,16.009146552370197,Pendulum-v1,SAC
policy,2,9.073032811997958,Pendulum-v1,SAC
policy,3,7.431928778363638,Pendulum-v1,SAC
policy,all,10.768156175890876,Pendulum-v1,SAC
env,1,3.769835316480677,Pusher-v4,PPO
env,2,6.629592211100157,Pusher-v4,PPO
env,3,7.703660176119207,Pusher-v4,PPO
env,all,6.0354797495731365,Pusher-v4,PPO
buffer,1,1.1694491362282815,Pusher-v4,PPO
buffer,2,1.0947862899321328,Pusher-v4,PPO
buffer,3,0.6458910308181174,Pusher-v4,PPO
buffer,all,0.9699437769024468,Pusher-v4,PPO
noise,1,3.227836481393976,Pusher-v4,PPO
noise,2,1.4587248687260093,Pusher-v4,PPO
noise,3,0.6409814079045888,Pusher-v4,PPO
noise,all,1.7751312619354802,Pusher-v4,PPO
policy,all,0.6370018872949624,Pusher-v4,PPO
env,1,2.604246830790232,Pusher-v4,SAC
env,2,6.633045063243053,Pusher-v4,SAC
env,3,7.881711771317576,Pusher-v4,SAC
env,all,5.71670943044915,Pusher-v4,SAC
buffer,1,0.6642443806143015,Pusher-v4,SAC
buffer,2,1.8070736464504176,Pusher-v4,SAC
buffer,3,2.69629936484682,Pusher-v4,SAC
buffer,all,1.726078577961671,Pusher-v4,SAC
noise,1,3.048676745749283,Pusher-v4,SAC
noise,2,3.0797404507261814,Pusher-v4,SAC
noise,3,3.7680628022377936,Pusher-v4,SAC
noise,all,3.299663288045406,Pusher-v4,SAC
policy,1,1.2132570507776033,Pusher-v4,SAC
policy,2,2.5302288778368096,Pusher-v4,SAC
policy,3,3.728662964124749,Pusher-v4,SAC
policy,all,2.494988736532236,Pusher-v4,SAC
env,1,7.435187258105406,Reacher-v4,PPO
env,2,23.02175339884332,Reacher-v4,PPO
env,3,25.980770741519315,Reacher-v4,PPO
env,all,18.81627524740253,Reacher-v4,PPO
buffer,1,2.087470552911707,Reacher-v4,PPO
buffer,2,6.779249245125129,Reacher-v4,PPO
buffer,3,3.1877362079000817,Reacher-v4,PPO
buffer,all,4.018780683662159,Reacher-v4,PPO
noise,1,6.529496363745113,Reacher-v4,PPO
noise,2,7.150157235822935,Reacher-v4,PPO
noise,3,3.814944553559499,Reacher-v4,PPO
noise,all,5.831305442018516,Reacher-v4,PPO
policy,all,3.213471298447517,Reacher-v4,PPO
env,1,6.954452881561478,Reacher-v4,SAC
env,2,17.842988932102863,Reacher-v4,SAC
env,3,19.944877242286964,Reacher-v4,SAC
env,all,14.927394588161432,Reacher-v4,SAC
buffer,1,1.9076446253345227,Reacher-v4,SAC
buffer,2,5.685393001494258,Reacher-v4,SAC
buffer,3,5.400250471229861,Reacher-v4,SAC
buffer,all,4.335141861413011,Reacher-v4,SAC
noise,1,6.693224633516556,Reacher-v4,SAC
noise,2,8.18036042454992,Reacher-v4,SAC
noise,3,7.409900061207285,Reacher-v4,SAC
noise,all,7.429054756629777,Reacher-v4,SAC
policy,1,3.0861248983356218,Reacher-v4,SAC
policy,2,5.549307404087005,Reacher-v4,SAC
policy,3,6.513304542957023,Reacher-v4,SAC
policy,all,5.052856835021027,Reacher-v4,SAC
env,1,45.37647135456341,Walker2d-v4,PPO
env,2,16.79497093096083,Walker2d-v4,PPO
env,3,29.4145031714115,Walker2d-v4,PPO
env,all,34.43306437025557,Walker2d-v4,PPO
buffer,1,42.442560380405546,Walker2d-v4,PPO
buffer,2,17.879970054906373,Walker2d-v4,PPO
buffer,3,19.34833218798241,Walker2d-v4,PPO
buffer,all,31.257639710184225,Walker2d-v4,PPO
noise,1,62.97367050189013,Walker2d-v4,PPO
noise,2,10.029309853866607,Walker2d-v4,PPO
noise,3,10.046897557660287,Walker2d-v4,PPO
noise,all,38.81351013152288,Walker2d-v4,PPO
policy,all,34.00904170275655,Walker2d-v4,PPO
