anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,SAC,1,10000,Ant-v4,111,222,333,444,buffer,5,SAC_1_10000_Ant-v4_111_222_333_444_buffer=5,-241.4983407142857
True,SAC,2,10000,Ant-v4,111,222,333,444,buffer,8,SAC_2_10000_Ant-v4_111_222_333_444_buffer=8,-50.252441969696974
True,SAC,3,10000,Ant-v4,111,222,333,444,buffer,2,SAC_3_10000_Ant-v4_111_222_333_444_buffer=2,127.83274934782604
False,SAC,1,10000,Ant-v4,111,222,333,444,buffer,10,SAC_1_10000_Ant-v4_111_222_333_444_buffer=10,-125.45358513333332
False,SAC,2,10000,Ant-v4,111,222,333,444,buffer,4,SAC_2_10000_Ant-v4_111_222_333_444_buffer=4,-19.529407612903217
False,SAC,3,10000,Ant-v4,111,222,333,444,buffer,2,SAC_3_10000_Ant-v4_111_222_333_444_buffer=2,87.49933679452054
True,SAC,1,10000,Ant-v4,111,222,333,444,noise,2,SAC_1_10000_Ant-v4_111_222_333_444_noise=2,-249.68558423809523
True,SAC,2,10000,Ant-v4,111,222,333,444,noise,3,SAC_2_10000_Ant-v4_111_222_333_444_noise=3,-48.096829393939394
True,SAC,3,10000,Ant-v4,111,222,333,444,noise,13,SAC_3_10000_Ant-v4_111_222_333_444_noise=13,131.0566969767442
False,SAC,1,10000,Ant-v4,111,222,333,444,noise,4,SAC_1_10000_Ant-v4_111_222_333_444_noise=4,-140.80269939473683
False,SAC,2,10000,Ant-v4,111,222,333,444,noise,1,SAC_2_10000_Ant-v4_111_222_333_444_noise=1,-21.02665183333333
False,SAC,3,10000,Ant-v4,111,222,333,444,noise,6,SAC_3_10000_Ant-v4_111_222_333_444_noise=6,105.48552718461538
True,SAC,1,10000,Ant-v4,111,222,333,444,policy,3,SAC_1_10000_Ant-v4_111_222_333_444_policy=3,-222.6132744090909
True,SAC,2,10000,Ant-v4,111,222,333,444,policy,8,SAC_2_10000_Ant-v4_111_222_333_444_policy=8,-33.53556771428573
True,SAC,3,10000,Ant-v4,111,222,333,444,policy,1,SAC_3_10000_Ant-v4_111_222_333_444_policy=1,119.26677625490196
False,SAC,1,10000,Ant-v4,111,222,333,444,policy,1,SAC_1_10000_Ant-v4_111_222_333_444_policy=1,-120.5831368918919
False,SAC,2,10000,Ant-v4,111,222,333,444,policy,4,SAC_2_10000_Ant-v4_111_222_333_444_policy=4,2.6007026666666646
False,SAC,3,10000,Ant-v4,111,222,333,444,policy,3,SAC_3_10000_Ant-v4_111_222_333_444_policy=3,118.27394473913044

True,SAC,1,30000,HalfCheetah-v4,111,222,333,444,env,1,SAC_1_30000_HalfCheetah-v4_111_222_333_444_env=1,-3.172415551724125
True,SAC,2,30000,HalfCheetah-v4,111,222,333,444,env,15,SAC_2_30000_HalfCheetah-v4_111_222_333_444_env=15,288.9233705762712
True,SAC,3,30000,HalfCheetah-v4,111,222,333,444,env,11,SAC_3_30000_HalfCheetah-v4_111_222_333_444_env=11,376.6157388876404
False,SAC,1,30000,HalfCheetah-v4,111,222,333,444,env,6,SAC_1_30000_HalfCheetah-v4_111_222_333_444_env=6,371.88300417241385
False,SAC,2,30000,HalfCheetah-v4,111,222,333,444,env,6,SAC_2_30000_HalfCheetah-v4_111_222_333_444_env=6,632.1281932711865
False,SAC,3,30000,HalfCheetah-v4,111,222,333,444,env,13,SAC_3_30000_HalfCheetah-v4_111_222_333_444_env=13,725.6821187191011
True,SAC,1,30000,HalfCheetah-v4,111,222,333,444,buffer,6,SAC_1_30000_HalfCheetah-v4_111_222_333_444_buffer=6,101.7128873448276
True,SAC,2,30000,HalfCheetah-v4,111,222,333,444,buffer,8,SAC_2_30000_HalfCheetah-v4_111_222_333_444_buffer=8,290.3617232711864
True,SAC,3,30000,HalfCheetah-v4,111,222,333,444,buffer,3,SAC_3_30000_HalfCheetah-v4_111_222_333_444_buffer=3,385.6247157865168
False,SAC,1,30000,HalfCheetah-v4,111,222,333,444,buffer,1,SAC_1_30000_HalfCheetah-v4_111_222_333_444_buffer=1,247.8058092413793
False,SAC,2,30000,HalfCheetah-v4,111,222,333,444,buffer,9,SAC_2_30000_HalfCheetah-v4_111_222_333_444_buffer=9,568.8314705932204
False,SAC,3,30000,HalfCheetah-v4,111,222,333,444,buffer,5,SAC_3_30000_HalfCheetah-v4_111_222_333_444_buffer=5,693.3192192808988
True,SAC,1,30000,HalfCheetah-v4,111,222,333,444,noise,5,SAC_1_30000_HalfCheetah-v4_111_222_333_444_noise=5,-12.357380310344828
True,SAC,2,30000,HalfCheetah-v4,111,222,333,444,noise,5,SAC_2_30000_HalfCheetah-v4_111_222_333_444_noise=5,229.30379311864405
True,SAC,3,30000,HalfCheetah-v4,111,222,333,444,noise,16,SAC_3_30000_HalfCheetah-v4_111_222_333_444_noise=16,486.0658347752809
False,SAC,1,30000,HalfCheetah-v4,111,222,333,444,noise,16,SAC_1_30000_HalfCheetah-v4_111_222_333_444_noise=16,236.01161179310347
False,SAC,2,30000,HalfCheetah-v4,111,222,333,444,noise,13,SAC_2_30000_HalfCheetah-v4_111_222_333_444_noise=13,583.7453162542373
False,SAC,3,30000,HalfCheetah-v4,111,222,333,444,noise,16,SAC_3_30000_HalfCheetah-v4_111_222_333_444_noise=16,918.9779413932584
True,SAC,1,30000,HalfCheetah-v4,111,222,333,444,policy,7,SAC_1_30000_HalfCheetah-v4_111_222_333_444_policy=7,-4.064708413793098
True,SAC,2,30000,HalfCheetah-v4,111,222,333,444,policy,8,SAC_2_30000_HalfCheetah-v4_111_222_333_444_policy=8,219.4639181355932
True,SAC,3,30000,HalfCheetah-v4,111,222,333,444,policy,3,SAC_3_30000_HalfCheetah-v4_111_222_333_444_policy=3,352.6982895842696
False,SAC,1,30000,HalfCheetah-v4,111,222,333,444,policy,6,SAC_1_30000_HalfCheetah-v4_111_222_333_444_policy=6,261.07593006896553
False,SAC,2,30000,HalfCheetah-v4,111,222,333,444,policy,2,SAC_2_30000_HalfCheetah-v4_111_222_333_444_policy=2,524.9674958135594
False,SAC,3,30000,HalfCheetah-v4,111,222,333,444,policy,2,SAC_3_30000_HalfCheetah-v4_111_222_333_444_policy=2,594.3568587528089

